"","Community District","Air Pollution(fine particulate matter/ cubic meter"
"1","Financial District (CD1)",8.42
"2","Greenwich Village and Soho (CD2)",9.94
"3","Lower East Side and Chinatown (CD3)",8.67
"4","Clinton and Chelsea (CD4)",9.32
"5","Midtown (CD5)",11.53
"6","Stuyvesant Town and Turtle Bay (CD6)",9.36
"7","Upper West Side (CD7)",7.38
"8","Upper East Side (CD8)",8.03
"9","Morningside Heights and Hamilton Heights (CD9)",6.93
"10","Central Harlem (CD10)",6.97
"11","East Harlem (CD11)",7.13
"12","Washington Heights and Inwood (CD12)",7.17
"13","Mott Haven and Melrose (CD1)",7.69
"14","Hunts Point and Longwood (CD2)",7.82
"15","Morrisania and Crotona (CD3)",6.91
"16","Highbridge and Concourse (CD4)",7.24
"17","Fordham and University Heights (CD5)",7.29
"18","Belmont and East Tremont (CD6)",7.15
"19","Kingsbridge Heights and Bedford (CD7)",6.78
"20","Riverdale and Fieldston (CD8)",6.68
"21","Parkchester and Soundview (CD9)",6.81
"22","Throgs Neck and Co-op City (CD10)",6.7
"23","Morris Park and Bronxdale (CD11)",6.65
"24","Williamsbridge and Baychester (CD12)",6.66
"25","Greenpoint and Williamsburg (CD1)",8.61
"26","Fort Greene and Brooklyn Heights (CD2)",7.19
"27","Bedford Stuyvesant (CD3)",6.6
"28","Bushwick (CD4)",7.1
"29","East New York and Starrett City (CD5)",6.52
"30","Park Slope and Carroll Gardens (CD6)",7.7
"31","Sunset Park (CD7)",7.37
"32","Crown Heights and Prospect Heights (CD8)",6.68
"33","South Crown Heights and Lefferts Gardens (CD9)",6.34
"34","Bay Ridge and Dyker Heights (CD10)",6.39
"35","Bensonhurst (CD11)",6.16
"36","Borough Park (CD12)",6.37
"37","Coney Island (CD13)",5.98
"38","Flatbush and Midwood (CD14)",6.2
"39","Sheepshead Bay (CD15)",6.07
"40","Brownsville (CD16)",6.65
"41","East Flatbush (CD17)",6.43
"42","Flatlands and Canarsie (CD18)",6.11
"43","Long Island City and Astoria (CD1)",7.21
"44","Woodside and Sunnyside (CD2)",8.43
"45","Jackson Heights (CD3)",6.65
"46","Elmhurst and Corona (CD4)",6.85
"47","Ridgewood and Maspeth (CD5)",7
"48","Rego Park and Forest Hills (CD6)",6.46
"49","Flushing and Whitestone (CD7)",6.65
"50","Hillcrest and Fresh Meadows (CD8)",6.2
"51","Kew Gardens and Woodhaven (CD9)",6.4
"52","South Ozone Park and Howard Beach (CD10)",6.05
"53","Bayside and Little Neck (CD11)",6.19
"54","Jamaica and Hollis (CD12)",6.23
"55","Queens Village (CD13)",6.03
"56","Rockaway and Broad Channel (CD14)",5.59
"57","St. George and Stapleton (CD1)",6.14
"58","South Beach and Willowbrook (CD2)",5.88
"59","Tottenville and Great Kills (CD3)",5.83
